sample,gender,age,birth,residence,screeningQuestion-1,screeningQuestion-2,screeningQuestion-3,screeningQuestion-4,screeningQuestion-5,screeningQuestion-6,screeningQuestion-7,screeningQuestion-8,screeningQuestion-9,groups,Artist,Statement,Order,ai_experience,ai_appsCount,ai_usageFrequency,ai_attitude_productive,ai_attitude_enjoyable,A_perception_emotion-1,A_perception_emotion-2,A_perception_intention-1,A_perception_intention-2,A_perception_cognition-1,A_perception_cognition-2,A_artisticValue-1,A_artisticValue-2,A_artisticValue-3,A_enjoyment-1,A_enjoyment-2,A_enjoyment-3,B_perception_emotion-1,B_perception_emotion-2,B_perception_intention-1,B_perception_intention-2,B_perception_cognition-1,B_perception_cognition-2,B_artisticValue-1,B_artisticValue-2,B_artisticValue-3,B_enjoyment-1,B_enjoyment-2,B_enjoyment-3,validation,education,income,art_education-or-profession,feedback
1,2,32,2,1,1,2,3,4,5,,7,8,,6,AI,present,scene first,1,1,5,1,1,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,3,1,5,2,2,없습니다
2,1,33,2,12,1,2,3,4,5,,7,8,,2,AI,present,classroom first,2,,,,,4,4,4,1,3,1,1,3,1,3,3,3,3,3,1,1,3,1,3,3,3,3,3,3,1,2,1,2,없음
3,1,55,4,2,1,2,3,,5,,,,,6,AI,present,scene first,1,1,5,2,1,2,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,6,4,2,
7,1,36,2,1,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,1,2,2,1,1,3,3,3,3,3,3,2,2,1,1,1,2,4,4,4,5,4,4,4,3,4,3,4,2,1,5,4,1,사람작품인지 ai 작품인지궁금합니다.
8,2,32,2,1,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,2,2,4,3,3,4,3,4,2,3,2,2,2,4,4,4,3,2,4,2,3,3,2,2,1,2,1,2,
10,1,33,2,2,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,1,4,1,2,2,2,3,3,3,3,3,3,3,3,4,3,1,4,3,4,3,2,3,4,4,4,4,3,1,5,2,2,없음
11,1,52,4,17,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,4,1,1,2,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,4,2,1,5,6,2,
13,2,30,2,12,1,2,,4,5,,7,8,,2,AI,present,classroom first,1,2,6,2,2,2,1,4,2,4,4,3,2,2,2,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,2,2,
14,2,49,3,8,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,3,2,2,1,4,3,3,4,4,4,4,4,4,3,2,2,2,4,4,4,3,4,4,4,4,4,3,3,1,5,5,1,없어요
16,1,53,4,1,1,2,3,4,5,,7,8,,7,Human,absent,scene first,2,,,,,3,3,4,4,3,3,4,4,4,5,3,3,4,4,3,4,4,4,5,5,5,4,4,3,1,5,1,2,없습니다
17,2,36,2,1,1,2,3,4,5,,7,8,,8,AI,absent,scene first,1,1,2,1,1,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,1,5,3,2,없습니다
19,2,41,3,7,1,2,3,4,5,6,7,8,,6,AI,present,scene first,2,,,,,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,2,
21,2,28,1,8,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,2,6,1,1,1,1,5,5,1,1,5,1,3,5,5,2,2,2,5,5,1,1,5,4,5,5,5,4,2,5,2,1,
22,2,52,4,8,1,2,3,4,5,,7,8,,7,Human,absent,scene first,2,,,,,2,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,3,4,3,3,3,1,5,7,2,
23,2,56,4,1,1,2,,4,5,6,,8,,5,Human,present,scene first,1,1,6,1,2,3,3,4,4,2,2,3,2,2,3,2,2,2,2,3,3,2,3,3,2,2,2,3,2,1,5,7,2,예시된 두 그림이 작위적이다. 이발소 풍경화를 연상케했다.
24,2,34,2,11,1,2,3,4,5,,7,8,,6,AI,present,scene first,2,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,5,4,5,5,1,5,2,2,
28,2,30,2,10,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,1,6,1,1,4,5,5,5,4,5,4,3,3,3,2,1,3,4,4,4,4,4,4,3,3,4,4,3,1,6,2,2,
32,2,40,3,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,2,2,1,1,4,5,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,1,5,4,1,
33,1,40,3,1,1,,3,4,,,7,8,,7,Human,absent,scene first,1,1,3,1,1,1,4,4,3,4,4,5,4,4,5,4,3,5,5,5,4,5,5,4,4,5,4,4,4,1,5,4,2,많은 것들을 종합해서 표현하는 능력이 매우 뛰어나서 놀라웠다.
34,1,62,5,2,1,,3,4,,6,,,,6,AI,present,scene first,2,,,,,4,4,3,4,5,4,4,5,3,3,4,3,3,4,3,2,3,3,4,3,4,4,3,4,1,5,1,2,수고많으십니다
36,1,42,3,9,1,,3,4,5,,7,8,,6,AI,present,scene first,1,2,4,1,1,4,2,5,3,2,4,5,5,5,5,4,4,5,5,5,5,3,3,4,5,4,3,4,5,1,5,2,2,인공지능과 관련된 설문을 개발 부탁드립니다
37,1,38,2,14,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,3,1,1,2,2,4,2,2,2,2,4,5,5,5,5,2,2,4,2,2,2,4,4,4,4,4,4,1,5,5,2,없음
40,1,46,3,1,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,3,2,1,1,3,3,2,2,2,4,2,3,3,2,3,2,2,1,2,2,2,2,3,2,2,2,2,1,1,5,5,2,예
